Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Sat Nov 19 2016,5:00 pm,Utah Jazz,,Houston Rockets,,,,
Sat Nov 19 2016,10:30 pm,Chicago Bulls,,Los Angeles Clippers,,,,
Sat Nov 19 2016,8:00 pm,Minnesota Timberwolves,,Memphis Grizzlies,,,,
Sat Nov 19 2016,8:30 pm,Golden State Warriors,,Milwaukee Bucks,,,,
Sat Nov 19 2016,7:00 pm,Charlotte Hornets,,New Orleans Pelicans,,,,
Sat Nov 19 2016,7:00 pm,Dallas Mavericks,,Orlando Magic,,,,
Sat Nov 19 2016,7:30 pm,Phoenix Suns,,Philadelphia 76ers,,,,
Sat Nov 19 2016,7:00 pm,Miami Heat,,Washington Wizards,,,,
Sun Nov 20 2016,3:30 pm,Portland Trail Blazers,,Brooklyn Nets,,,,
Sun Nov 20 2016,9:00 pm,Utah Jazz,,Denver Nuggets,,,,
Sun Nov 20 2016,9:30 pm,Chicago Bulls,,Los Angeles Lakers,,,,
Sun Nov 20 2016,1:00 pm,Atlanta Hawks,,New York Knicks,,,,
Sun Nov 20 2016,7:00 pm,Indiana Pacers,,Oklahoma City Thunder,,,,
Sun Nov 20 2016,9:00 pm,Toronto Raptors,,Sacramento Kings,,,,
Mon Nov 21 2016,7:00 pm,Memphis Grizzlies,,Charlotte Hornets,,,,
Mon Nov 21 2016,7:30 pm,Houston Rockets,,Detroit Pistons,,,,
Mon Nov 21 2016,7:00 pm,Golden State Warriors,,Indiana Pacers,,,,
Mon Nov 21 2016,10:30 pm,Toronto Raptors,,Los Angeles Clippers,,,,
Mon Nov 21 2016,8:00 pm,Orlando Magic,,Milwaukee Bucks,,,,
Mon Nov 21 2016,8:00 pm,Boston Celtics,,Minnesota Timberwolves,,,,
Mon Nov 21 2016,7:00 pm,Miami Heat,,Philadelphia 76ers,,,,
Mon Nov 21 2016,8:30 pm,Dallas Mavericks,,San Antonio Spurs,,,,
Mon Nov 21 2016,7:00 pm,Phoenix Suns,,Washington Wizards,,,,
Tue Nov 22 2016,7:30 pm,New Orleans Pelicans,,Atlanta Hawks,,,,
Tue Nov 22 2016,9:00 pm,Chicago Bulls,,Denver Nuggets,,,,
Tue Nov 22 2016,10:30 pm,Oklahoma City Thunder,,Los Angeles Lakers,,,,
Tue Nov 22 2016,7:30 pm,Portland Trail Blazers,,New York Knicks,,,,
Wed Nov 23 2016,7:30 pm,Boston Celtics,,Brooklyn Nets,,,,
Wed Nov 23 2016,7:00 pm,San Antonio Spurs,,Charlotte Hornets,,,,
Wed Nov 23 2016,7:00 pm,Portland Trail Blazers,,Cleveland Cavaliers,,,,
Wed Nov 23 2016,8:30 pm,Los Angeles Clippers,,Dallas Mavericks,,,,
Wed Nov 23 2016,7:30 pm,Miami Heat,,Detroit Pistons,,,,
Wed Nov 23 2016,10:30 pm,Los Angeles Lakers,,Golden State Warriors,,,,
Wed Nov 23 2016,8:00 pm,Toronto Raptors,,Houston Rockets,,,,
Wed Nov 23 2016,7:00 pm,Atlanta Hawks,,Indiana Pacers,,,,
Wed Nov 23 2016,9:30 pm,Minnesota Timberwolves,,New Orleans Pelicans,,,,
Wed Nov 23 2016,7:00 pm,Phoenix Suns,,Orlando Magic,,,,
Wed Nov 23 2016,7:00 pm,Memphis Grizzlies,,Philadelphia 76ers,,,,
Wed Nov 23 2016,10:30 pm,Oklahoma City Thunder,,Sacramento Kings,,,,
Wed Nov 23 2016,9:00 pm,Denver Nuggets,,Utah Jazz,,,,
Fri Nov 25 2016,1:00 pm,San Antonio Spurs,,Boston Celtics,,,,
Fri Nov 25 2016,7:30 pm,Dallas Mavericks,,Cleveland Cavaliers,,,,
Fri Nov 25 2016,9:00 pm,Oklahoma City Thunder,,Denver Nuggets,,,,
Fri Nov 25 2016,7:30 pm,Los Angeles Clippers,,Detroit Pistons,,,,
Fri Nov 25 2016,8:00 pm,Brooklyn Nets,,Indiana Pacers,,,,
Fri Nov 25 2016,10:30 pm,Golden State Warriors,,Los Angeles Lakers,,,,
Fri Nov 25 2016,8:00 pm,Miami Heat,,Memphis Grizzlies,,,,
Fri Nov 25 2016,8:00 pm,Toronto Raptors,,Milwaukee Bucks,,,,
Fri Nov 25 2016,7:30 pm,Charlotte Hornets,,New York Knicks,,,,
Fri Nov 25 2016,7:00 pm,Washington Wizards,,Orlando Magic,,,,
Fri Nov 25 2016,7:30 pm,Chicago Bulls,,Philadelphia 76ers,,,,
Fri Nov 25 2016,9:00 pm,Minnesota Timberwolves,,Phoenix Suns,,,,
Fri Nov 25 2016,10:00 pm,New Orleans Pelicans,,Portland Trail Blazers,,,,
Fri Nov 25 2016,10:30 pm,Houston Rockets,,Sacramento Kings,,,,
Fri Nov 25 2016,8:00 pm,Atlanta Hawks,,Utah Jazz,,,,
